name,abbrev,stateCode,countryA2
Alabama,Ala.,AL,US
Alaska,Alaska,AK,US
Arizona,Ariz.,AZ,US
Arkansas,Ark.,AR,US
California,Calif.,CA,US
Colorado,Colo.,CO,US
Connecticut,Conn.,CT,US
Delaware,Del.,DE,US
District of Columbia,D.C.,DC,US
Florida,Fla.,FL,US
Georgia,Ga.,GA,US
Hawaii,Hawaii,HI,US
Idaho,Idaho,ID,US
Illinois,Ill.,IL,US
Indiana,Ind.,IN,US
Iowa,Iowa,IA,US
Kansas,Kans.,KS,US
Kentucky,Ky.,KY,US
Louisiana,La.,LA,US
Maine,Maine,ME,US
Maryland,Md.,MD,US
Massachusetts,Mass.,MA,US
Michigan,Mich.,MI,US
Minnesota,Minn.,MN,US
Mississippi,Miss.,MS,US
Missouri,Mo.,MO,US
Montana,Mont.,MT,US
Nebraska,Nebr.,NE,US
Nevada,Nev.,NV,US
New Hampshire,N.H.,NH,US
New Jersey,N.J.,NJ,US
New Mexico,N.M.,NM,US
New York,N.Y.,NY,US
North Carolina,N.C.,NC,US
North Dakota,N.D.,ND,US
Ohio,Ohio,OH,US
Oklahoma,Okla.,OK,US
Oregon,Ore.,OR,US
Pennsylvania,Pa.,PA,US
Rhode Island,R.I.,RI,US
South Carolina,S.C.,SC,US
South Dakota,S.D.,SD,US
Tennessee,Tenn.,TN,US
Texas,Tex.,TX,US
Utah,Utah,UT,US
Vermont,Vt.,VT,US
Virginia,Va.,VA,US
Washington,Wash.,WA,US
West Virginia,W.Va.,WV,US
Wisconsin,Wis.,WI,US
Wyoming,Wyo.,WY,US